GO:0000946 GO:0000049
GO:0015177 GO:0000095
GO:0015178 GO:0000100
GO:0019739 GO:0000104
GO:0043790 GO:0000179
GO:0008665 GO:0000215
GO:0050576 GO:0000253
GO:0005051 GO:0000268
GO:0009043 GO:0000310
GO:0019004 GO:0000703
GO:0000982 GO:0000981
GO:0001133 GO:0000981
GO:0001200 GO:0000981
GO:0001201 GO:0000981
GO:0001202 GO:0000981
GO:0001203 GO:0000981
GO:0003705 GO:0000981
GO:0001159 GO:0000987
GO:0001034 GO:0000995
GO:0001005 GO:0001004
GO:0001008 GO:0001004
GO:0001033 GO:0001004
GO:0001038 GO:0001004
GO:0001157 GO:0001004
GO:0000997 GO:0001018
GO:0001044 GO:0001018
GO:0001045 GO:0001018
GO:0070361 GO:0001018
GO:0070362 GO:0001018
GO:0070363 GO:0001018
GO:0070364 GO:0001018
GO:0001136 GO:0001135
GO:0001137 GO:0001135
GO:0001138 GO:0001135
GO:0001146 GO:0001145
GO:0001187 GO:0001164
GO:0001140 GO:0001216
GO:0001215 GO:0001216
GO:0001141 GO:0001217
GO:0001218 GO:0001217
GO:0001219 GO:0001217
GO:0001220 GO:0001217
GO:0001078 GO:0001227
GO:0001206 GO:0001227
GO:0001210 GO:0001227
GO:0001214 GO:0001227
GO:0001077 GO:0001228
GO:0001205 GO:0001228
GO:0001209 GO:0001228
GO:0001211 GO:0001228
GO:0001212 GO:0001228
GO:0001213 GO:0001228
GO:0001589 GO:0001588
GO:0001590 GO:0001588
GO:0001592 GO:0001591
GO:0001593 GO:0001591
GO:0001670 GO:0001591
GO:0001610 GO:0001609
GO:0001611 GO:0001609
GO:0001612 GO:0001609
GO:0001613 GO:0001609
GO:0008501 GO:0001609
GO:0016522 GO:0001634
GO:0001644 GO:0001646
GO:0080087 GO:0001872
GO:0016030 GO:0002046
GO:0002163 GO:0002162
GO:0002166 GO:0002162
GO:0005554 GO:0003674
GO:0000496 GO:0003676
GO:0043566 GO:0003677
GO:0003679 GO:0003678
GO:0004003 GO:0003678
GO:0016017 GO:0003695
GO:0003698 GO:0003697
GO:0003699 GO:0003697
GO:0000130 GO:0003700
GO:0001071 GO:0003700
GO:0001130 GO:0003700
GO:0001131 GO:0003700
GO:0001151 GO:0003700
GO:0001199 GO:0003700
GO:0001204 GO:0003700
GO:0001104 GO:0003712
GO:0016455 GO:0003712
GO:0001105 GO:0003713
GO:0001106 GO:0003714
GO:0000498 GO:0003723
GO:0044822 GO:0003723
GO:0004004 GO:0003724
GO:0003971 GO:0003726
GO:0003728 GO:0003727
GO:0000499 GO:0003729
GO:0003736 GO:0003735
GO:0003737 GO:0003735
GO:0003738 GO:0003735
GO:0003739 GO:0003735
GO:0003740 GO:0003735
GO:0003741 GO:0003735
GO:0003742 GO:0003735
GO:0003744 GO:0003743
GO:0003745 GO:0003743
GO:0008182 GO:0003746
GO:0008183 GO:0003746
GO:0003748 GO:0003747
GO:0003749 GO:0003747
GO:0004752 GO:0003755
GO:0042028 GO:0003755
GO:0006467 GO:0003756
GO:0004469 GO:0003841
GO:0009981 GO:0003843
GO:0046913 GO:0003878
GO:0008326 GO:0003886
GO:0003888 GO:0003887
GO:0003889 GO:0003887
GO:0003890 GO:0003887
GO:0003891 GO:0003887
GO:0003893 GO:0003887
GO:0003894 GO:0003887
GO:0003895 GO:0003887
GO:0008723 GO:0003887
GO:0015999 GO:0003887
GO:0016000 GO:0003887
GO:0016448 GO:0003887
GO:0016449 GO:0003887
GO:0016450 GO:0003887
GO:0016451 GO:0003887
GO:0016452 GO:0003887
GO:0019984 GO:0003887
GO:0003897 GO:0003896
GO:0003898 GO:0003896
GO:0000129 GO:0003899
GO:0004036 GO:0003905
GO:0009387 GO:0003916
GO:0008468 GO:0003959
GO:0016660 GO:0003959
GO:0019282 GO:0003961
GO:0000505 GO:0003962
GO:0047318 GO:0003992
GO:0019109 GO:0003995
GO:0019850 GO:0004045
GO:0019851 GO:0004045
GO:0042172 GO:0004057
GO:0016400 GO:0004058
GO:0004093 GO:0004092
GO:0004094 GO:0004092
GO:0016952 GO:0004096
GO:0016953 GO:0004096
GO:0008799 GO:0004121
GO:0016225 GO:0004123
GO:0008461 GO:0004165
GO:0004101 GO:0004166
GO:0048059 GO:0004167
GO:0016809 GO:0004175
GO:0004280 GO:0004176
GO:0016510 GO:0004300
GO:0034566 GO:0004328
GO:0004330 GO:0004331
GO:0008708 GO:0004344
GO:0001513 GO:0004350
GO:0004580 GO:0004376
GO:0019106 GO:0004379
GO:0008026 GO:0004386
GO:0004403 GO:0004402
GO:0004404 GO:0004402
GO:0004405 GO:0004402
GO:0004406 GO:0004402
GO:0043166 GO:0004402
GO:0046971 GO:0004402
GO:0016315 GO:0004438
GO:0001668 GO:0004439
GO:0004472 GO:0004471
GO:0016619 GO:0004471
GO:0001718 GO:0004479
GO:0070128 GO:0004479
GO:0008702 GO:0004489
GO:0047076 GO:0004499
GO:0004524 GO:0004523
GO:0008857 GO:0004527
GO:0004537 GO:0004536
GO:0016800 GO:0004553
GO:0004562 GO:0004558
GO:0016982 GO:0004558
GO:0016685 GO:0004601
GO:0016686 GO:0004601
GO:0016687 GO:0004601
GO:0016693 GO:0004601
GO:0016224 GO:0004602
GO:0008971 GO:0004615
GO:0045126 GO:0004622
GO:0042298 GO:0004629
GO:0004646 GO:0004648
GO:0018223 GO:0004660
GO:0018224 GO:0004661
GO:0018225 GO:0004671
GO:0050222 GO:0004672
GO:0008896 GO:0004673
GO:0004695 GO:0004674
GO:0004696 GO:0004674
GO:0004700 GO:0004674
GO:0004684 GO:0004683
GO:0004685 GO:0004683
GO:0004688 GO:0004683
